title,albumid,numberoftracks
Os Cães Ladram Mas A Caravana Não Pára,184,16
Emergency On Planet Earth,116,10
Quanta Gente Veio ver--Bônus De Carnaval,87,3
Allegri: Miserere,273,1
Up An' Atom,51,22
Adorate Deum: Gregorian Chant from the Proper of the Mass,272,1
Djavan Ao Vivo - Vol. 1,70,13
The Best Of R.E.M.: The IRS Years,190,16
English Renaissance,314,2
Bach: The Cello Suites,278,1
Scheherazade,299,1
Original Soundtracks 1,176,14
Arquivo Os Paralamas Do Sucesso,169,16
Monteverdi: L'Orfeo,345,1
Palestrina: Missa Papae Marcelli & Allegri: Miserere,309,1
Use Your Illusion II,92,14
Riot Act,180,15
"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",292,1
Pop,236,12
Revelations,271,14
Muso Ko,263,2
Sozinho Remix Ao Vivo,22,3
...And Justice For All,156,9
Santana - As Years Go By,197,8
Physical Graffiti [Disc 2],135,9
"Battlestar Galactica, Season 3",227,19
Mozart: Wind Concertos,282,1
No More Tears (Remastered),173,2
Garage Inc. (Disc 2),149,16
Strauss: Waltzes,311,1
Temple of the Dog,269,10
Unplugged,73,30
"LOST, Season 4",261,17
Live At Donington 1992 (Disc 1),103,10
The World of Classical Favourites,280,2
Minha História,42,14
New Adventures In Hi-Fi,189,14
War,239,10
Demorou...,161,12
Surfing with the Alien (Remastered),121,10
Synkronized,117,11
Faceless,88,12
Green,188,11
20th Century Masters - The Millennium Collection: The Best of Scorpions,257,12
Living After Midnight,125,16
The X Factor,113,11
Into The Light,40,12
Zooropa,240,10
"Charpentier: Divertissements, Airs & Concerts",328,1
MK III The Final Concerts [Disc 1],43,7
Retrospective I (1974-1980),196,14
Are You Experienced?,120,17
Puccini: Madama Butterfly - Highlights,291,1
Alcohol Fueled Brewtality Live! [Disc 2],15,5
Battlestar Galactica: The Story So Far,226,1
Live [Disc 2],210,9
The Essential Miles Davis [Disc 1],48,13
Out Of Time,187,11
Prokofiev: Symphony No.1,298,1
Cássia Eller - Sem Limite [Disc 1],57,15
One By One,81,11
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,61,11
Chemical Wedding,19,11
Van Halen,244,11
Ace Of Spades,160,15
Diver Down,242,12
Purcell: The Fairy Queen,331,1
"The Office, Season 3",251,25
Morning Dance,204,9
Duos II,266,1
Live At Donington 1992 (Disc 2),104,10
Big Ones,5,15
Blizzard of Ozz,171,2
Handel: Music for the Royal Fireworks (Original Version 1749),315,1
"Adams, John: The Chairman Dances",307,1
Use Your Illusion I,91,16
Koyaanisqatsi (Soundtrack from the Motion Picture),347,1
Haydn: Symphonies 99 - 104,283,1
Great Recordings of the Century - Mahler: Das Lied von der Erde,305,1
Pearl Jam,179,13
"Chronicle, Vol. 1",54,20
Axé Bahia 2001,29,14
Let There Be Rock,4,8
Bach: Toccata & Fugue in D Minor,297,1
Ten,181,11
Back to Black,321,12
A Real Live One,96,11
Sibelius: Finlandia,303,1
Judas 0: B-Sides and Rarities,201,16
Audioslave,10,14
No Prayer For The Dying,105,10
Garage Inc. (Disc 1),35,11
